category_id,product_type,ember_primary_principle,ember_components,ember_css_tokens,ember_composition,ember_anti_patterns,ember_notes
1,SaaS (General),motion,"HeroPane,KPIStrip,DataTable,ActivityFeed,PricingCard","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + KPIStrip + DataTable + PricingCard,no purple gradients;no spinners;no hardcoded hex,"Dark bg dominant. Amber accent on primary CTA only. Syne for headlines, IBM Plex Mono for metrics."
2,Micro SaaS,restraint,"HeroPane,KPIStrip,PricingCard,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display",HeroPane + KPIStrip + PricingCard + ContactForm,no multiple accents;no decorative motion;no hero overload,Ultra-minimal. Single CTA. One amber accent event. Show product value in hero.
3,E-commerce,color-as-information,"HeroPane,ProductGrid,PricingCard,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-success,--color-danger,--color-surface-1,--color-surface-2",HeroPane + ProductGrid + PricingCard + TestimonialRail,no rainbow product tags;no decorative gradients;no competing accents,"Color signals action: amber=buy, green=in-stock, red=sale. Restrained palette on dark bg."
4,E-commerce Luxury,restraint,"AuthorityHero,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-text,--color-text-muted,--font-display",AuthorityHero + ServiceList + TestimonialRail + ContactForm,no garish colors;no busy layouts;no animated banners,Maximum whitespace equivalent on dark. Syne at large sizes. Minimal copy. Amber used once.
5,B2B Service,composition,"AuthorityHero,StatsCard,ServiceList,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display",AuthorityHero + ServiceList + StatsCard + TeamGrid + ContactForm,no flashy animations;no consumer colors;no carousel abuse,Trust-first. StatsCard shows ROI. TeamGrid humanizes. Single amber CTA.
6,Financial Dashboard,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no decorative colors;no motion distractions;no serif fonts,IBM Plex Mono for all numbers. Green/red strictly for delta signals. Amber for alerts only.
7,Analytics Dashboard,motion,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-mono,--color-text-muted",KPIStrip + DataTable + ActivityFeed + StatsCard,no static snapshots as hero;no over-animation;no hardcoded colors,Filament sweep on loading states. Breathing border on active widgets. IBM Plex Mono data.
8,Healthcare App,restraint,"HeroPane,StatsCard,ServiceList,ContactForm","--color-bg,--color-accent,--color-success,--color-surface-1,--font-display,--color-text",HeroPane + ServiceList + StatsCard + ContactForm,no alarming reds without context;no animation overload;no busy palette,Calm dark palette. Amber only for critical alerts. Clear hierarchy for health data.
9,Educational App,typography,"HeroPane,ServiceList,KPIStrip,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + ServiceList + KPIStrip + TestimonialRail,no childish fonts;no primary color palette;no rainbow UI,Syne for course titles. IBM Plex Mono for progress/stats. One amber CTA per section.
10,Creative Agency,composition,"AuthorityHero,ServiceList,TeamGrid,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + TeamGrid + TestimonialRail + ContactForm,no template layouts;no equal-weight card grids;no corporate blue,Editorial composition. Syne at display scale. Work shown at full bleed. One amber moment.
