style_id,style_category,type,ember_compatibility,ember_adaptation,ember_notes
1,Minimalism & Swiss Style,General,compatible,Use as-is on dark bg with Ember tokens,"Excellent foundation for Ember. Replace white bg with var(--color-bg), black text with var(--color-text). Grid structure maps perfectly."
2,Neumorphism,General,incompatible,Use Flat Design with subtle surface elevation instead,Neumorphism requires light backgrounds to work. Replace with var(--color-surface-1/2/3) layering on Ember dark base.
3,Glassmorphism,General,adapted,Use surface vars with low opacity border; skip blur on OLED,Glass blur effect works on dark if used sparingly. Replace glass tint with var(--color-surface-2) at 40% opacity. One panel max.
4,Brutalism,General,compatible,"Use with Ember tokens; uppercase Syne, stark borders","Strong Ember alignment. Hard edges, high contrast. Replace custom hex with var(--color-accent) for yellow/amber moments."
5,3D & Hyperrealism,General,incompatible,Use Dimensional Layering or subtle depth via surface vars,Full 3D rendering conflicts with Ember restraint principle. Use z-index surface layering and subtle shadows only.
6,Vibrant & Block-based,General,adapted,Use block structure; replace vibrant palette with Ember tokens,Block grid composition compatible. Replace rainbow blocks with var(--color-surface-1/2/3). Amber for single accent block only.
7,Dark Mode (OLED),General,compatible,Use with var(--color-bg) #0B0B0A as base,Native Ember style. var(--color-bg) is already OLED-optimised. Pair with var(--color-text) and var(--color-text-muted).
8,Accessible & Ethical,General,compatible,WCAG AAA target with Ember tokens; use --color-text-muted carefully,"Compatible. Verify var(--color-text-muted) on var(--color-bg) meets 4.5:1 minimum. Amber on dark exceeds 3:1, verify body text separately."
9,Claymorphism,General,incompatible,Use Soft UI Evolution or subtle border-radius elevation instead,Bright pastel clays incompatible with Ember dark palette. Replace with surface-1/2/3 rounding and subtle shadows.
10,Aurora UI,General,incompatible,Use Gradient Mesh adapted to amber only; avoid rainbow aurora,"Multi-hue aurora conflicts with one-accent-per-viewport rule. If using gradient, amber-to-transparent only."
11,Retro-Futurism,General,adapted,Use IBM Plex Mono + Syne combo; replace neon palette with amber only,The typographic and structural aspects align. Replace neon rainbow with amber-only accent. Dark OLED base natural fit.
12,Flat Design,General,compatible,Use with Ember surface tokens; flat is Ember default,Core Ember style. All components are flat-first. Use var(--color-surface-1/2/3) for hierarchy without shadows.
13,Skeuomorphism,General,incompatible,Use Flat Design or Material You instead,Textures and 3D objects conflict with Ember principles. Replace entirely with flat token-based design.
14,Liquid Glass,General,adapted,Single frosted panel only; use surface-2 with backdrop-filter sparingly,"Heavy glass conflicts with OLED performance and restraint. If used: one element, var(--color-surface-2), subtle only."
15,Motion-Driven,General,adapted,Use only filament sweep + breathing border; no decorative motion,"Motion must communicate state, not decorate. Filament sweep for loading, breathing border for active. Remove scroll-driven decoration."
16,Micro-interactions,General,compatible,State-only micro-interactions; 200-250ms transitions max,Compatible when motion = state feedback. Hover states on interactive elements allowed. No decorative micro-animations.
17,Inclusive Design,General,compatible,WCAG AAA target; high contrast mode supported via tokens,Full compatibility. Ember token system designed for accessibility. var(--color-text) on var(--color-bg) verified.
18,Zero Interface,General,adapted,Minimal chrome approach; use NavBar + FooterBlock only when needed,Philosophy aligns with Ember restraint. Reduce chrome to minimum. Content-first. Amber only for essential interactions.
